serial #,Gender,Grade,Age,Diet,breakfast frequency,food breakfast,sleep per night,homework time,%homework in school,transportation time,get home around,wake up around,% homework alone,fast food frequency,sick days,lunch detention/workshop,part time job,GPA,letter grade,stress,metro%,bus%,walk%,driven%,%find teacher,subject good,subject bad,know grade,respected by friends,respected by teachers,like burke,assembly,bonding trip,advising program,clubs,sport season,pe credit,sport outside
601,M,6,11,No,5,Cereal,6,1,1,1,15:45:00,6:45:00,95,0,7,3,0,N/A,N/A,7,0,0,0,100,90,Math,Science,1,3,4,6,6,5,4,7,,1,
602,F,6,12,Vegetarian,5,"Yogurt,apple,aplleause, baN/AnN/A",6,1,10,1,17:30:00,5:30:00,95,1,0,0,,N/A,N/A,9,0,50,0,50,60,"Diving IN, PE, Art",Math,1,3,6,7,3,7,2,6,,1,
603,F,6,11,No,0,"Bread, oranges",8,1.5,0,0.5,17:00:00,6:35:00,100,2,1,2,0,N/A,N/A,8,50,0,0,50,95,"Core, 3d art, dovomg om",Math,6,7,5,7,7,7,7,7,0,0,
604,M,6,12,No,5,Breack ray,,2,95,1,16:30:00,6:19:00,50,0,0,0,0,N/A,N/A,3,50,0,50,0,70,Core,Math,5,5,7,7,1,5,7,7,,,
605,F,6,11,No,0,part tart,7,3,2.5,2,17:30:00,6:00:00,100,7,0.75,3,0,N/A,N/A,9,0,0,0,100,0,"Pe, Diving in","Math, Science, Core",7,7,7,7,1,7,4.5,7,,,
606,M,6,11,No,5,"oatmeal, blueberries, rasperries, cornbread",9,1,5,1,15:30:00,6:40:00,95,0,0,0,0,N/A,N/A,3.5,0,0,0,100,85,math,Science,1,6,6,7,3,6,4,7,2,0,
607,M,6,11,No,5,"waffles, strawberry, milk, cereal",10,2,85,0.666666666666667,16:46:00,7:00:00,94,5,0,0,0,N/A,N/A,8,50,0,0,50,20,"Math,Core",Science,1,7,6,7,2,7,6,7,,,
608,M,6,11,No,5,"cereal, toast",8,2,20,0.166666666666667,15:30:00,7:50:00,75,0,2,2,0,N/A,N/A,4,0,0,0,100,89,"Core, Science",Math,1,6.9,7,7,7,6.5,7,7,0,0,
609,F,6,11,Vegetarian,5,"toast,bagels, creeps",9,1.5,15,0.666666666666667,15:20:00,6:30:00,100,0,0,0,0,N/A,N/A,4,0,0,0,100,50,"math,reading",science,N/A,6,7,7,7,7,N/A,7,0,0,
610,F,6,12,No,5,"cereal,toast,bagels,egg white omelet",9,2,15,0.666666666666667,17:00:00,6:30:00,100,0,1,0,0,N/A,N/A,4,0,0,0,100,50,math,science,N/A,6,7,7,7,7,N/A,7,0,0,
611,F,6,11,Vegetarian,3,"fruit smoothie, milk",9,2,20,0.333333333333333,16:00:00,6:15:00,100,0,1,0,0,N/A,N/A,6,0,0,5,95,80,Math,Grammar,2,6,5,6,3,4,5,3,0,0,
612,M,6,12,No,5,"cereal, eggs",8.5,1.5,30,0.5,16:3-,6:45:00,90,0,1,2,0,N/A,A,8,0,0,0,100,80,N/A,N/A,5,6,4,6,4,3,2,7,0,0,
613,F,6,11,No,5,"fruit, oatmeal",9,1,99,1,15:30:00,6:30:00,99,0,0,2,0,N/A,N/A,5,0,0,0,100,98,"Core, Math",science,N/A,7,7,7,5,7,6,7,0,0,
614,F,6,11,No,4.5,"Bagel, powerbar",7.5,1.5,0.5,0.5,15:45:00,6:45:00,99,0,1,1,0,N/A,N/A,7,1,0,0,99,,"Core, Math",Science,6,7,7,7,5,7,7,7,0,0,
615,F,6,12,No,5,Pizza,7,2,95,0.5,16:00:00,6:00:00,100,1,2,2,0,N/A,N/A,7,0,0,0,100,90,Core,Science,6,2,7,7,6,7,7,7,0,0,
616,F,6,11,No,5,"pbj sandwich, water",7.5,0.5,90,2,17:30:00,6:35:00,85,1,2,3,0,N/A,B,8,40,30,30,0,95,Science,Core,5,3,6,7,4,7,7,7,0,0,
701,F,7,13,Vegetarian,4,"Bagels, OJ",6,1,25,2,16:30:00,6:00:00,90,0,3,0,0,4,A,4,50,0,0,50,75,Geography,Spanish,2,6,6,7,1,7,6,7,0,1,0
702,M,7,13,No,5,Power Bars,9,1,0,1,15:30:00,6:40:00,100,0,2,5,0,4,A,5,0,50,0,50,95,N/A,N/A,6,4,7,7,3,6,7,7,0,0,Tennis and Basket Ball
703,M,7,13,No,4,Pancakes,8,2,75,0.5,17:00:00,6:45:00,80,0,2,10,0,3,B,6,0,0,0,100,85,Spanish,N/A,3,6,6,6,2,4,5,6,0,0,0
704,M,7,12,No,2.5,yrpad,6.5,""".2 2""",10,0.5,18:00:00,7:00:00,99,0,2,7,0,3,B,5,0,0,100,0,40,N/A,Chorus,3,7,7,7,3,7,7,7,0,4,0
705,M,7,12,No,5,"Cereal, Bagel",9,2,0,6.5,15:12:00,6:00:00,99,1,"""4 - 5""","""3 - 5""",0,0,,3,0,0,0,100,80,Geography,Science,"""N/A""","""Yes""","""Yes""","""Yes""","""Yes""","""N/A""","""Yes""","""Yes""",0,0,0
706,F,7,13,No,4,Protein,8.5,3,98,1,16:30:00,6:30:00,100,0.3,1,2,0,4,A,8.5,0,0,0,100,70,Science,N/A,6,5,6,7,2,"""N/A""",6,6,0,"""check""","ice skating, persoN/Al trainer"
707,M,7,13,No,5,"English Muffin, saimon, OJ",9.5,1.1428,75,1,16:30:00,6:34:00,100,0,1,8,0,4,A,7,0,0,0,100,80,N/A,N/A,3,5,5,6,2,2,3,"""N/A""",2,3,0
708,M,7,13,NO,0,N/A,9.5,1,10,1,17:00:00,6:15:00,99,0,0,1,0,4,A,3,0,0,0,100,90,Science,Spanish,4,7,6,7,1,7,6,7,2,9,"Socce, Ultimate Frisbe"
709,M,7,12,No,5,Oatmeal,9,2.5,5,1.5,18:00:00,5:30:00,95,0.5,0,1,0,4,A,7,30,0,0,70,90,LaN/Agauge Arts,Spanish,5,7,6,7,5,7,6,7,0,0,0
710,M,7,13,No,5,"English Muffin, Fruit",7,2,25,0.5,17:00:00,6:25:00,90,0,0,8,0,3.33,B+,2,0,25,1,74,95,"Math, Art",Science,4,6,6,7,5,4,4,7,0,0,0
711,M,7,12,No,0,N/A,7,0.75,10,0.417,15:45:00,6:15:00,95,1,0,10,3,3.33,B+,6,100,0,0,0,60,BAND,Spanish,1,5,2,2,1,3,2,6,0,0,0
712,F,7,12,No,5,"Cereal,ogurt",8,2.5,96,1.5,17:45:00,6:00:00,100,0.333333333333333,2,1,0,4,A,6.5,0,0,0,100,90,"French, Geography, Science",Math,6.5,5,6,6,5,6,7,6,7,7,Ice Skating
713,F,7,12,No,3,"Fruit, Bagel",7,2,15,2,19:00:00,6:00:00,100,1,0,15,0,2.66,B-,4,0,50,0,50,75,Spanish,Math,6,5,7,7,2,7,7,7,0,0,Basket Ball
714,F,7,13,No,5,"Cereal, Bagel, Pancakes",8.5,2,95,0.5,15:40:00,7:00:00,100,0,0,1,0,4,A,5,50,0,0,50,90,LaN/Agauge Arts,Math,5,7,6,6,4,7,6,7,0,0,"Ice skating, Dance,"
715,F,7,12,Vegetarian,5,toast,7,2.5,98,1.25,16:30:00,6:30:00,100,1,6,1,0,4,A,6.5,0,0,0,100,90,"Math, Art",Science,5,7,6,7,4,6,6,6,2,2,"Soccer, Basketball, Ice skating"
716,M,7,12,No,5,Pancakes and Cereal,10,1,15,0.333333333333333,18:00:00,7:00:00,90,0,0,3,0,3.66,A-,3,0,0,40,60,70,Science,N/A,3,7,6,5,1,6,6,4,0,0,0
717,M,7,12,No,5,"Oatmeal, bagel, smoothies, cereal",8,1,15,0.75,17:30:00,6:30:00,90,1,0,5,0,4,A,3,35,35,0,30,N/A,N/A,Science,3,7,6,5,2,7,7,4,0,0,Baseball
718,F,7,12,No,5,"Toast, yogurt",9,1.5,40,0.666666666666667,16:15:00,6:30:00,96,0,0,2,0,0,N/A,3,0,0,0,100,75,Science,Math,2,7,6,6,4,6,6,7,0,0,0
719,F,7,13,No,4,oatmeal,9,3,10,0.333333333333333,17:00:00,7:00:00,40,0,"""a lot""",4,0,4,A,5,0,0,50,50,60,PE,Science,4,6,6,4,1,6,3,4,7,7,swimming
720,F,7,12,No,5,"CinN/Amon Toast, French toast, pancakes",8,2,5,0,15:30:00,6:45:00,85,0,6,2,0,4,A,5,0,5,5,90,80,Spanish,Science,4,6,6,7,4,7,2,7,0,0,0
721,F,7,12,No,5,"Omlet, bacon, eggs",8,2,15,0.2,15:10:00,7:36:00,85,0,6,2,0,3,B,5,0,0,0,100,80,math,Spanish,4,6,6,7,4,7,2,7,1,1,"Soccer, Dance"
722,F,7,12,no,5,"Waffles, fruit",8,2,99,0.666666666666667,19:30:00,6:10:00,98,1,3,4,0,3.655,A or B+,7,70,0,30,0,100,Math,Science,5,4,7,7,3,7,6,7,7,7,"Ballet, Dance"
723,M,7,12,No,5,Cereal,8,2,0,10,16:00:00,6:00:00,99,1,5,9,0,3.33,B+,8,0,0,0,100,,N/A,N/A,2,6,7,7,5,6,6,7,3,5,0
724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,M,8,13,no,5,ramen; potatos; cupcakes,11,2,5,1,15:15:00,6:45:00,50,5,5,4,0,3,B,3,0,50,0,50,N/A,math,english,2,5,6,5,0,7,6,7,N/A,N/A,N/A
802,F,8,14,no,4,toast; cheese; apple; orange,7,1,80,2,17:30:00,7:00:00,99,1,2,2,0,3,B,4,0,20,0,80,60,math,science,5,6,7,7,5,5,5,7,1,0,mastial arts
803,M,8,13,no,4,toast; egg,8.5,1,20,1,19:15:00,6:15:00,95,0,3,2,0,4,A,7,20,0,0,80,95,math,N/A,4,6,4,7,0,4,3,6,1,0,mastial arts
804,M,8,13,no,5,cereal,9,0.5,30,1,16:30:00,6:20:00,100,1,0,1,0,3.33,B+,4,50,0,10,40,30,science,english,1,5,7,7,6,7,6,4,2,0,N/A
805,F,8,13,no,5,yogurt,7.5,7.5,45,N/A,17:30:00,7:00:00,55,1,2,3,0,4,A,4,15,15,0,70,90,N/A,N/A,2,7,7,7,6,6,2,5,N/A,N/A,N/A
806,F,8,13,no,3,cereal,10,2,99,0,16:45:00,6:30:00,90,1,10,7,7,3,B,5,0,0,0,100,20,math,science,5,6,6,7,1,7,6,7,N/A,N/A,N/A
807,F,8,13,no,5,energy bar,7,2,0,0.67,16:30:00,6:00:00,95,0,10,1,0,4,A,6,0,80,0,20,70,N/A,N/A,6,6,7,7,1,6,7,5,N/A,N/A,N/A
808,M,8,14,no,0,N/A,9,1.3,10,0,17:00:00,7:00:00,100,1,2,20,0,3.33,B+,8,0,0,50,50,65,math,science,5,7,7,7,3,7,5,7,1,0,N/A
809,M,8,14,no,5,oatmeal,9,3,10,0,16:00:00,6:00:00,94,0,8,10,0,3,B,7,10,0,90,0,20,science,english,2,6,5,7,2,7,5,7,1,0,nikido
810,M,8,14,no,5,waffle; cereal,9,1,5,0.5,16:00:00,7:15:00,80,1,6,5,0,3.66,A-,4,0,25,0,75,75,N/A,N/A,4,7,7,6,2,7,3,4,2,3,N/A
811,F,8,14,no,5,crepes,9,1.5,10,1,,6:30:00,90,1,0,1,0,4,A,1,0,0,0,100,50,N/A,N/A,2,6,7,7,6,5,5,7,1,0,swimming
812,F,8,13,no,4,oatmeal; cereal,5,2,100,2.5,20:00:00,4:30:00,90,3,0,3,0,4,A,8,60,20,10,10,100,science,english,3,2,7,6,6,5,5,3,N/A,N/A,N/A
813,M,8,13,no,5,cereal,7,2,N/A,0.5,17:00:00,6:30:00,100,2,0,12,0,3,B,5,100,0,0,0,N/A,N/A,N/A,3,5,5,7,3,7,7,4,N/A,N/A,N/A
814,F,8,13,no,5,cereal; toast; waffle,9,0.167,90,1,16:30:00,5:00:00,98,2,2,1,0,3.66,A-,6,33,33,33,0,80,N/A,science,3,5,5,7,6,5,5,6,1,3,dance; gymN/Astics
815,M,8,14,no,4,toast,8.5,1.5,10,1,17:45:00,7:00:00,100,1,4,5,0,3.66,A-,3,2.5,2.5,0,95,80,N/A,N/A,4,7,5,7,3,7,5,4,3,N/A,N/A
816,M,8,13,no,5,oatmeal,9.5,1,1,1,15:20:00,6:30:00,100,0,0,0,0,4,A,2,0,0,0,100,50,latin,english,2,2,3,5,5,4,5,5,2,0,soccer
817,M,8,13,no,5,oatmeal,9,1.5,5,1,15:30:00,6:30:00,100,0,5,1,0,4,A,4,0,0,0,100,75,math,english,2,5,6,7,3,2,3.5,2,N/A,N/A,N/A
818,F,8,14,no,0,N/A,7,1.5,2,0.5,16:30:00,7:00:00,90,0,2,1,0,3.33,B+,9,0,0,0,100,75,science,chorus,3,6,4,6,1,6,4,5,3,3,basketball
819,F,8,13,vegetarian,3,oatmeal; panckaes; toast,8,4,20,15,17:00:00,6:50:00,70,1,0,2,0,3,B,8.5,33,0,33,33,50,chorus,science,3,4,7,7,3,6,5,3,1,0,N/A
820,M,8,14,no,5,energy bar,8.5,1,10,0.5,15:30:00,6:45:00,95,0,2,0,30,4,A,3,0,0,0,100,80,science,N/A,5,7,7,7,3,7,4,2,1,1,N/A
821,F,8,14,no,5,sandwich,9,2,2,95,16:30:00,7:00:00,70,0,7,0,0,4,A,5,0,0,50,50,80,science,english,5,7,6,6,5,6,7,6,1,1,horseback riding; soccer
822,M,8,13,no,2,bagel,8,11,20,0.66,16:10:00,6:15:00,90,1,0,1,0,4,A,3,0,0,0,100,60,N/A,N/A,4,7,7,6,3,5,3,3,1,0,soccer; basketball
823,F,8,14,kosher,5,wafle; energy bar,8,2,10,1,16:00:00,6:15:00,100,0,1,2,4,3.66,A-,9,70,0,0,30,20,math,history,2,4,6,6,1,7,1,3,0,1,dance
824,F,8,13,no,1,cereal,8,1,10,0.25,18:00:00,6:30:00,75,2,2,3,0,4,A,5,0,0,0,100,30,math,history,7,7,5,6,5,6,5,1,0,0,biking
825,F,8,14,vegetarian,2,oatmeal,5,2,10,0.5,15:30:00,7:15:00,10,0,5,30,50,,P,10,5,0,0,95,80,N/A,N/A,2,4,3,3,3,5,5,5,N/A,N/A,dance
826,F,8,13,no,1,waffle,8,2,90,1,18:30:00,5:00:00,95,2,2,1,3,3.33,B+,10,90,0,0,10,100,math,science,1,6,5,6,1,7,2,3,N/A,1,tennis; dance
827,M,8,14,no,5,cereal; toast,7,1,20,2,17:30:00,6:20:00,80,1,3,0,0,4,A,3,100,0,0,0,80,math,english,4,5,6,7,4,7,7,5,2,0,N/A
828,F,8,14,vegetarian,4,oatmeal,7,3,25,1,16:30:00,6:00:00,100,0,1,0,0,4,A,8,24,50,24,2,96,english,math,7,7,5,6,5,4,6,7,0,0,rockclimb
829,M,8,14,no,4,cereal,6,2,46,15,16:45:00,6:30:00,8,0,18,30,0,3.33,B+,1,0,0,0,100,100,history,math,2,3,6,7,1,6,6,4,0,0,N/A
830,M,8,14,no,5,bagel,8,3,80,1.5,16:30:00,6:45:00,80,1,1,1,0,3.33,B+,3,0,0,0,100,80,math,N/A,2,7,5,7,1,1,6,6,N/A,N/A,soccer; basketball; baseball
831,M,8,13,no,5,waffle,8.5,0.75,5,0.25,15:45:00,6:45:00,80,1,0,4,0,4,A,2.5,50,50,0,0,65,spanish,N/A,5,6,6,7,4,6,5,5,1,1,recreation; basketball; soccer
832,M,8,14,no,5,cereal,8,2,0,1.2,17:00:00,6:30:00,99,0,2,1,0,2.66,B-,8,0,50,50,0,75,N/A,english,2,3,5,6,1,7,6,6,0,0,N/A
833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,7.22535211267606,12.6478873239437,,4.08450704225352,,8.08571428571428,1.92299714285714,32.7,2.81638571428571,16:41:38,6:28:26,88.5211267605634,0.76244131455399,2.35869565217391,3.92857142857143,1.38571428571429,,,5.45070422535211,16.7394366197183,9.02112676056338,9.30985915492958,64.9014084507042,,,#DIV/0!,3.61940298507463,5.64142857142857,5.91428571428572,6.45714285714286,3.34285714285714,5.92028985507246,5.10294117647059,5.71014492753623,1.03571428571429,1.08771929824561,
sd,,0.796370034210435,1.00140746023207,,1.57204579062025,,1.1794478829048,1.48443430907627,36.1727337461059,11.5027594218808,1:04:31,0:32:58,18.8557374026578,1.25457802401135,3.14522229320239,5.88617005612364,6.96636402603763,,,2.27745931369878,28.3703642097234,18.3778664663538,20.9935987177696,38.8778875563613,,,#NUM!,1.76902976369518,1.42345699396385,1.11306935787719,0.958345710605101,1.93282637745428,1.43389429733331,1.66069312882601,1.61883626752061,1.694529011681,2.11525666928209,
min,,6,11,,0,,5,0.167,0,0,15:10:00,4:30:00,8,0,0,0,0,,,1,0,0,0,0,,,0,1,2,2,2,0,1,1,1,0,0,
q1,,7,12,,4,,7,1,5,0.5,15:45:00,6:15:00,87.5,0,0,1,0,,,3.75,0,0,0,36.5,,,#NUM!,2,5,5,6,2,5,4,5,0,0,
med,,7,13,,5,,8,2,15,1,16:30:00,6:30:00,95,0,2,2,0,,,5,0,0,0,80,,,0,4,6,6,7,3,6,5.5,6,0,0,
q3,,8,13,,5,,9,2,67.75,1,17:30:00,6:45:00,100,1,3,4,0,,,7,31.5,1.25,0.5,100,,,#NUM!,5,7,7,7,5,7,6,7,1.25,1,
max,,8,14,,5,,11,11,100,95,20:00:00,7:50:00,100,7,18,30,50,,,10,100,80,100,100,,,0,7,7,7,7,7,7,7,7,7,9,
iqr,,1,1,0,1,0,2,1,62.75,0.5,1:45:00,0:30:00,12.5,1,3,3,0,0,0,3.25,31.5,1.25,0.5,63.5,0,0,#NUM!,3,2,2,1,3,2,2,2,1.25,1,
,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
serial #,Gender,Grade,Age,Diet,breakfast frequency,food breakfast,sleep per night,homework time,%homework in school,transportation time,get home around,wake up around,% homework alone,fast food frequency,sick days,lunch detention/workshop,part time job,GPA,letter grade,stress,metro%,bus%,walk%,driven%,subject good,subject bad,know grade,respected by friends,respected by teachers,like burke,%find teacher,assembly,bonding trip,advising program,clubs,sport season,pe credit,